"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2197","Unsuccessfully login with username: """" and password: ""SuperSecretPassword!""","firefox","Fri Jun 06 07:39:14 UTC 2025","passed","Fri Jun 06 07:39:16 UTC 2025","Login Suite","login.spec.ts","",""
"","1437","has title","webkit","Fri Jun 06 07:39:21 UTC 2025","passed","Fri Jun 06 07:39:23 UTC 2025","","example.spec.ts","",""
"","2561","Successful login","webkit","Fri Jun 06 07:39:37 UTC 2025","passed","Fri Jun 06 07:39:40 UTC 2025","Login Suite","login.spec.ts","",""
"","1275","has title","firefox","Fri Jun 06 07:39:04 UTC 2025","passed","Fri Jun 06 07:39:05 UTC 2025","","example.spec.ts","",""
"","1414","Unsuccessfully login with username: ""tomsmith"" and password: """"","chromium","Fri Jun 06 07:39:00 UTC 2025","passed","Fri Jun 06 07:39:02 UTC 2025","Login Suite","login.spec.ts","",""
"","1356","Unsuccessfully login with username: ""tomsmith"" and password: ""SuperSecretPassword""","chromium","Fri Jun 06 07:38:58 UTC 2025","passed","Fri Jun 06 07:38:59 UTC 2025","Login Suite","login.spec.ts","",""
"","550","get started link","chromium","Fri Jun 06 07:38:55 UTC 2025","passed","Fri Jun 06 07:38:55 UTC 2025","","example.spec.ts","",""
"","1420","Unsuccessfully login with username: ""tomsmit"" and password: ""SuperSecretPassword!""","chromium","Fri Jun 06 07:38:56 UTC 2025","passed","Fri Jun 06 07:38:58 UTC 2025","Login Suite","login.spec.ts","",""
"","2520","Unsuccessfully login with username: """" and password: ""SuperSecretPassword!""","webkit","Fri Jun 06 07:39:32 UTC 2025","passed","Fri Jun 06 07:39:35 UTC 2025","Login Suite","login.spec.ts","",""
"","1112","User is navigated to the Login page","chromium","Fri Jun 06 07:38:55 UTC 2025","passed","Fri Jun 06 07:38:56 UTC 2025","Login Suite","login.spec.ts","",""
"","3119","Unsuccessfully login with username: ""tomsmit"" and password: ""SuperSecretPassword!""","webkit","Fri Jun 06 07:39:27 UTC 2025","passed","Fri Jun 06 07:39:30 UTC 2025","Login Suite","login.spec.ts","",""
"","396","has title","chromium","Fri Jun 06 07:38:54 UTC 2025","passed","Fri Jun 06 07:38:54 UTC 2025","","example.spec.ts","",""
"","1678","Successful login","firefox","Fri Jun 06 07:39:18 UTC 2025","passed","Fri Jun 06 07:39:20 UTC 2025","Login Suite","login.spec.ts","",""
"","1676","Unsuccessfully login with username: ""tomsmith"" and password: """"","firefox","Fri Jun 06 07:39:17 UTC 2025","passed","Fri Jun 06 07:39:18 UTC 2025","Login Suite","login.spec.ts","",""
"","1330","User is navigated to the Login page","firefox","Fri Jun 06 07:39:06 UTC 2025","passed","Fri Jun 06 07:39:08 UTC 2025","Login Suite","login.spec.ts","",""
"","2482","Unsuccessfully login with username: ""tomsmith"" and password: """"","webkit","Fri Jun 06 07:39:35 UTC 2025","passed","Fri Jun 06 07:39:37 UTC 2025","Login Suite","login.spec.ts","",""
"","1683","Unsuccessfully login with username: ""tomsmith"" and password: ""SuperSecretPassword""","firefox","Fri Jun 06 07:39:09 UTC 2025","passed","Fri Jun 06 07:39:11 UTC 2025","Login Suite","login.spec.ts","",""
"","1360","Unsuccessfully login with username: """" and password: ""SuperSecretPassword!""","chromium","Fri Jun 06 07:38:59 UTC 2025","passed","Fri Jun 06 07:39:00 UTC 2025","Login Suite","login.spec.ts","",""
"","1340","Successful login","chromium","Fri Jun 06 07:39:02 UTC 2025","passed","Fri Jun 06 07:39:03 UTC 2025","Login Suite","login.spec.ts","",""
"","2507","Unsuccessfully login with username: ""tomsmith"" and password: ""SuperSecretPassword""","webkit","Fri Jun 06 07:39:30 UTC 2025","passed","Fri Jun 06 07:39:32 UTC 2025","Login Suite","login.spec.ts","",""
"","1690","Unsuccessfully login with username: ""tomsmit"" and password: ""SuperSecretPassword!""","firefox","Fri Jun 06 07:39:08 UTC 2025","passed","Fri Jun 06 07:39:09 UTC 2025","Login Suite","login.spec.ts","",""
"","1285","get started link","webkit","Fri Jun 06 07:39:23 UTC 2025","passed","Fri Jun 06 07:39:24 UTC 2025","","example.spec.ts","",""
"","2018","User is navigated to the Login page","webkit","Fri Jun 06 07:39:25 UTC 2025","passed","Fri Jun 06 07:39:27 UTC 2025","Login Suite","login.spec.ts","",""
"","829","get started link","firefox","Fri Jun 06 07:39:06 UTC 2025","passed","Fri Jun 06 07:39:06 UTC 2025","","example.spec.ts","",""
